ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	目标组ID	阶段前置成就ID	完成奖励RewardID	完成后清除Watcher
82010	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82010				1		0		802010	1
82011	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82011				1	1	0		802011	1
82012	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82012				1		0		802012	1
82013	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82013				1		0		802013	1
82014	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82014				1		0		802014	1
82015	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82015				1		0		802015	1
82016	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82016				1	1	0		802016	1
82017	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82017				1		0		802017	1
82018	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82018				1	1	0		802018	1
82019	803	65536	10000			1		6		802019	
82020	803	65536	10000			5		6	82019	802020	
82021	803	65536	10000			10		6	82020	802021	
82022	800	17:1,18:1,19:1,20:1				1		6		802022	
82023	800	17:1,18:1,19:1,20:1				5		6	82022	802023	
82024	800	17:1,18:1,19:1,20:1				10		6	82023	802024	
82025	800	8:4				1		6		802025	
82026	800	8:4				5		6	82025	802026	
82027	800	8:4				10		6	82026	802027	
82028	801	16:4				1		6		802028	
82029	801	16:4				5		6	82028	802029	
82030	801	16:4				10		6	82029	802030	
82031	801	1:4				1		6		802031	
82032	801	1:4				5		6	82031	802032	
82033	801	1:4				10		6	82032	802033	
82034	801	7:4				1		6		802034	
82035	801	7:4				5		6	82034	802035	
82036	801	7:4				10		6	82035	802036	
82037	801	12:4				1		6		802037	
82038	801	12:4				5		6	82037	802038	
82039	801	12:4				10		6	82038	802039	
82040	805					4		0		802040	1
82041	804					5000		0		802041	
82042	804					20000		0	82041	802042	
82043	804					50000		0	82042	802043	
82044	304	4	3			1		9		802044	
82045	304	8	3			1		9	82044	802045	
82046	304	12	3			1		9	82045	802046	
82047	313	2	3			1		9		802047	
82048	313	5	3			1		9	82047	802048	
82049	313	8	3			1		9	82048	802049	
82050	311	2	2	70350035		1		9		802050	
82051	312					72		9		802051	1
82052	315	4				1		0		802052	1
82053	119	20050201,20050301,20050401,20050501,20050601,20050701,20050801,20050901				1		14		802053	1
82054	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82054				1		14		802054	1
82055	118	21011501				1		14		802055	
82056	118	21011501				20		14	82055	802056	
82057	118	21011501				50		14	82056	802057	
82058	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82058				1		14		802058	1
82059	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82059				1		14		802059	1
82060	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82060	Achievement_Avatar_FallAnthem			1		14		802060	1
82061	809	5				1		14		802061	1
82062	810	3				1		14		802062	1
82063	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82063				1		0		802063	1
82064	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82064				1		0		802064	1
82065	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82065				1		0		802065	1
82066	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82066				1		15		802066	1
82067	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82067				1		15		802067	1
82068	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82068				1		15		802068	1
82069	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82069				1		15		802069	1
82070	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82070				1		15		802070	1
82071	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82071				1		15		802071	1
82072	119	28020304				1		15		802072	1
82073	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82073				1		15		802073	1
82074	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82074				1		0		802074	1
82075	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82075				1		0		802075	1
82076	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82076				1		0		802076	1
82077	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82077				1		0		802077	1
82078	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82078				1		0		802078	1
82079	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82079				1		0		802079	1
82080	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82080				1		0		802080	1
82081	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82081				1		0		802081	1
82082	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82082				1		0		802082	1
82083	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82083				1		0		802083	1
82084	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82084				1		0		802084	1
82085	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82085				1		0		802085	1
82086	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82086				1		0		802086	1
82087	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82087				1		0		802087	1
82088	119	29040101,29040102,29040103,29040104				1		0		802088	1
82089	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82089				1		0		802089	1
82090	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82090				1		0		802090	1
82091	119	26040101,26040102,26040103,26040104				1		20		802091	1
82092	119	26050101,26050201,26050301,26050401				1		20		802092	1
82093	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82093				1		20		802093	1
82094	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82094				1		20		802094	1
82095	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82095				1		20		802095	1
82096	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82096				1		20		802096	1
82097	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82097				1		20		802097	1
82098	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82098				1		20		802098	1
82109	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82109				1		20		802109	1
82099	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82099				1		0		802099	1
82100	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82100				1		0		802100	1
82101	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82101				1		0		802101	1
82102	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82102				1		0		802102	1
82103	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82103				1		0		802103	1
82104	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82104				1		0		802104	1
82105	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82105				1		0		802105	1
82106	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82106				1		0		802106	1
82107	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82107				1		0		802107	1
82108	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82108				1		0		802108	1
82110	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82110				1		0		802110	1
82111	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82111				1		0		802111	1
82112	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82112				1		0		802112	1
82113	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82113				1		0		802113	1
82114	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82114				1		0		802114	1
82115	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82115				1		29		802115	1
82116	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82116				1		29		802116	1
82117	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82117				1		29		802117	1
82118	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82118				1		29		802118	1
82119	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82119				1		29		802119	1
82120	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82120				1		29		802120	1
82121	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82121				1		0		802121	1
82122	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82122				1		0		802122	1
82123	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82123				1		0		802123	1
82124	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82124				1		0		802124	1
82125	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82125				1		0		802125	1
82126	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82126				1		29		802126	1
82127	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82127				1		0		802127	1
82128	1	LevelAbility_Combat_Achievement_Watcher_2:Watcher_Achievement_82128				1		29		802128	1
84000	700	39604				1		0		804000	1
84001	700	30904				1		0		804001	1
84002	700	38406				1		0		804002	1
84003	700	39604				1		0		804003	1
84004	700	35311				1		0		804004	1
84005	700	35723				1		0		804005	1
84006	700	37005				1		0		804006	1
84007	700	37608				1		0		804007	1
84008	700	39403				1		0		804008	1
84009	700	101801				1		0		804009	1
84010	700	101609				1		0		804010	1
84011	700	100013				1		0		804011	1
84012	700	100315				1		0		804012	1
84013	700	101209				1		0		804013	1
84014	700	101403				1		0		804014	1
84015	700	101320				1		0		804015	1
84016	700	101507				1		0		804016	1
84017	700	101512				1		0		804017	1
84018	700	102111				1		0		804018	1
84019	700	102104				1		0		804019	1
84020	700	102204				1		0		804020	1
84021	700	102304				1		0		804021	1
84022	700	102516				1		0		804022	1
84023	700	102506				1		0		804023	1
84024	700	102510				1		0		804024	1
84025	700	1800027				1		0		804025	1
84029	700	800004				1		0		804029	1
84030	700	800007				1		0		804030	1
84031	700	800107				1		0		804031	1
84032	700	800304				1		0		804032	1
84033	700	800311				1		0		804033	1
84034	700	200004				1		0		804034	1
84035	700	200102				1		0		804035	1
84036	700	200212				1		0		804036	1
84037	700	201107				1		0		804037	1
84038	700	201310				1		0		804038	1
84039	700	200302				1		0		804039	1
84040	700	200304				1		0		804040	1
84041	700	200710				1		0		804041	1
84042	700	200709				1		0		804042	1
84043	700	200808				1		0		804043	1
84044	700	200919				1		0		804044	1
84045	700	200711				1		0		804045	1
84046	700	200908				1		0		804046	1
84047	700	201014				1		0		804047	1
84048	700	201601				1		0		804048	1
84049	700	201715				1		0		804049	1
84050	700	201904				1		0		804050	1
84051	700	202010				1		0		804051	1
84052	700	202102				1		0		804052	1
84053	700	7183105				1		0		804053	1
84056	700	1101501				1		0		804056	1
84057	700	1101502				1		0		804057	1
84058	700	1101414				1		0		804058	1
84059	700	1101505				1		0		804059	1
84060	701	800403,800404				1		0		804060	1
84061	701	800518,800515				1		0		804061	1
84062	700	800608				1		0		804062	1
84063	700	800710				1		0		804063	1
84064	700	102914				1		0		804064	1
84065	700	103104				1		0		804065	1
84066	700	103106				1		0		804066	1
84501	701	2000915,2001015,2001515				1		10		804501	1
84502	700	2010314				1		10		804502	1
84503	700	2070012,2070013,2070014				1		11		804503	1
84504	700	2060006,2060008,2060010				1		11		804504	1
84505	700	2230080,2230081				1		12		804505	1
84506	703	40001	3			1		12		804506	1
84507	700	2230154				1		12		804507	1
84508	700	2200004,2200105,2200204				1		0		804508	1
84509	700	2200305,2200405				1		0		804509	1
84510	700	2210710,2210711,2210712,2210713,2210714				1		0		804510	1
84512	701	2003606				5		0		804512	1
84513	700	2211305				1		0		804513	1
84514	700	2230599				1		0		804514	1
84515	700	2006803				1		0		804515	1
84516	700	2006207				1		0		804516	1
84517	700	2005990				1		0		804517	1
84518	700	2010206				1		0		804518	1
84519	702	24800	1	1		1		0		804519	1
84520	700	2051738				1		0		804520	1
84521	212	100329				1	1	0		804521	1
84522	700	2200606,2200903				1		0		804522	1
84523	700	2211405				1		0		804523	1
84524	700	2211508				1		0		804524	1
84525	700	2230204				1		0		804525	1
84526	700	2210716,2210717,2210718,2210719				1		0		804526	1
84527	504	100305;100312;100313				1		0		804527	1
84528	700	2201906				1		0		804528	1
84529	700	2202006				1		0		804529	1
84530	701	2202508,2202509,2202510				1		0		804530	1
84531	702	41130	2	100		1		0		804531	1
84532	700	2202109,2202110				1		0		804532	1
84533	700	2202202				1		0		804533	1
84534	700	2203011,2203012				1		0		804534	1
84535	700	2203704				1		0		804535	1
84536	700	2201608				1		0		804536	1
84537	701	7280901,7280902				1		0		804537	1
84538	700	2201705,2201305				1		0		804538	1
84539	702	41150	4	5		1		0		804539	1
84540	700	7280604				1		0		804540	1
84541	700	7281203				1		0		804541	1
84542	700	2205007				1		0		804542	1
84054	700	2003304				1		0		804054	1
84055	701	2102708,2102709				1		0		804055	1
85000	700	7101224				1		0		805000	1
85001	700	2100450				1		0		805001	1
85002	701	2102115,2102124				1		0		805002	1
85003	701	7100532,7100534				1		0		805003	1
85004	700	7100701				1		0		805004	1
85005	700	7100832				1		0		805005	1
85006	700	2100710				1		0		805006	1
84027	943	103201	10101,10102			1	1	0		804027	1
84026	942	103201	101,201,301,302,401,402			1		17		804026	1
84100	942	103201	201			1		17		804100	1
84101	700	1904522				1		17		804101	1
84104	942	103601	1902306,1902505,1902491,1903110,1903209,1903205			1		17		804104	1
84028	944	103601	1	3		1		17		804028	1
84107	942	103601	1902491			1		17		804107	1
84102	942	101401	101,102,103,104,105			1		17		804102	1
84108	942	101401	20102,90202,90302,90402			1		17		804108	1
84105	942	101401	103			1		17		804105	1
84103	942	103401	190620502,190620701,190650201,190660201,190680301,190690401			1		17		804103	1
84106	942	103401	190650201			1		17		804106	1
84109	700	1907002				1		17		804109	1
84110	942	103402	1908306,1908406,1908702,1908708,1909104,1909205			1		17		804110	1
84111	942	103402	1908406			1		17		804111	1
84112	701	1908707				1		17		804112	1
84113	942	103901	101,102,103,104,105			1		17		804113	1
84114	942	103901	103			1		17		804114	1
84115	942	103901	102			1		17		804115	1
84116	942	105001	1911405,1911503,1911705,1911802,1912003,1912180			1		17		804116	1
84117	700	1911502				1		17		804117	1
84118	942	105001	1911705			1		17		804118	1
84119	942	105301	1901307,1901306,1901407,1901507,1901604,1901607			1		17		804119	1
84120	700	1901503				1		17		804120	1
84121	942	105301	1901307			1		17		804121	1
84122	942	102401	101,102,103,104,105			1		17		804122	1
84123	942	102401	105			1		17		804123	1
84124	942	102401	103			1		17		804124	1
84125	942	105501	1901906,1902005,1902603,1902704,1902805			1		17		804125	1
84126	703	1901905	1			1		17		804126	1
84127	942	105501	1902603			1		17		804127	1
84128	942	102701	1,2,3,4,5			1		17		804128	1
84129	700	1913615				1		17		804129	1
84130	942	102701	5			1		17		804130	1
84131	942	106401	1903801,1903805,1904006,1904007,1904706			1		17		804131	1
84132	942	106401	1904006			1		17		804132	1
84133	700	1904715				1		17		804133	1
84134	942	106501	191451201,191460901,191470101,191480601,191440801			1		17		804134	1
84135	942	106501	191451201			1		17		804135	1
84136	700	1914409				1		17		804136	1
84137	942	105901	190551101,190570401,190570402,190600801,190601201			1		17		804137	1
84138	700	1906022,1906023,1906028				1		17		804138	1
84139	700	1905517				1		17		804139	1
86001	424	0				5		13		806001	
86002	424	0				20		13	86001	806002	
86003	424	0				100		13	86002	806003	
86004	314	1;2;3;4;5;6;7;8;9;10;11;12;13;100;101;102;103;14;16;17;18;200;19;300				5		13		806004	
86005	314	1;2;3;4;5;6;7;8;9;10;11;12;13;100;101;102;103;14;16;17;18;200;19;300				20		13	86004	806005	
86006	314	1;2;3;4;5;6;7;8;9;10;11;12;13;100;101;102;103;14;16;17;18;200;19;300				50		13	86005	806006	
86007	425	00402				1		13		806007	1
86008	425	00401				1		13		806008	1
86009	425	00403				1		13		806009	1
86010	425	60201				1		13		806010	1
86011	425	60202				1		13		806011	1
86012	425	00501				1		13		806012	1
86013	425	90201				1		13		806013	1
86014	425	90301				1	1	21		806014	1
86021	440	29030106				1		21		806021	1
86015	425	60501;60502;60503;60504				1		21		806015	1
86016	425	90401				1		21		806016	1
86017	425	00405				1		21		806017	1
86018	425	50901				1		21		806018	1
86019	425	00406				1		21		806019	1
86020	425	40211				1		21		806020	1
87001	1019					1	1	19		806013	
87002	1017					10	1	19		806013	
87003	1017					20	1	19	87002	806013	
87004	1017					30	1	19	87003	806013	
87005	1016					5	1	19		806013	
87006	1016					10	1	19	87005	806013	
87007	1016					20	1	19	87006	806013	
