索引id	类型	参数1	参数2	参数3	参数4	单机是否需要预准备	单机预准备时长	联机是否需要预准备	联机预准备时长	预准备时是否允许玩家行动（默认否）	是否能够主动中断	SceneID	控制GroupID	GroupID	Group家具ID	复活点GroupID	复活点ConfigID	ability_group	ability_group列表	玩法限时	联机玩法传送点GroupId	联机玩法传送点ConfigId	联机玩法传送超时时间	联机玩法传送预加载GroupId	可选ability_groups	TeamAbilityGroup	team可选ability_groups	Group屏蔽默认修正等级
7042	12											3	133002097					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
14001	21	50,30,1000									1	1	111101249							180								
14002	22	1,0,0									1	1	111101233							180								
14003	21	40,80,1200									1	3	133108202							129								
14004	21	25,40,1200									1	3	133108203							156								
14005	22	1,0,0									1	3	133108201							180								
14006	22	1,0,0									1	3	133108253							180								
15001	16	21020701:15,21020201:15,23030101:42,23050101:48,23020101:36,21020801:50,21020501:50				0		0			1	35807	235807002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
15002	16	21010701:10,20011101:15,21010201:10,20011001:7,26050901:30,26051101:30,21010501:10,21010601:10,20050203:15,20050802:15,20050403:15,20050502:15,20050603:15,20050302:15,20050703:15	22010301:30,26050601:50			0		0			1	35808	235808002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
15003	16	21011001:8,21011601:8,21030601:8,21010601:8,21010501:8,21030101:8,21010201:8,21011201:15,21010701:8,21010901:8,21011301:8,21010401:8	21020701:15,21020201:15,21020301:15,21020801:40			0		0			1	35809	235809002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
15004	16	25010601:9,25010401:9,25010301:9,25010501:9,25010701:9,25070101:9,25060101:9,25030201:9,25010201:9,25020201:9,25030301:9	23020101:30,23030101:30,25080101:15,25080201:15,25080301:15,25100201:35,25100101:35			0		0			1	35810	235810002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
15005	16	26051001:20,26050901:20,26051101:20,26040104:35,26040102:35,26040103:35,22050201:63,22040201:20,22050101:63,26050601:54				0		0			1	35811	235811002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
15006	16	24020301:23,24010301:45,24020201:23,24020101:23,24010101:35,24020401:23				0		0			1	35812	235812002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
16001	24	21010701:3,21010601:3,21010201:3,21010501:2,21030101:3,21010901:2,21011301:2,24020301:17,24020201:11,24020401:17,24020101:11	21020201:11,24010101:33			0		0			1	35840	235840001						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16002	24	25010201:4,25020201:4,25010701:8,25030301:8,25030201:8,25060101:8,25010501:6,25010601:6,25070101:8,25010401:6	23020101:36,23030101:36			0		0			1	35840	235840002						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16003	24	20010701:13,20010601:13,20011101:13,20050302:4,20050703:8,20050403:10,21020701:21,22010201:19	20010901:19,22010401:19			0		0			1	35841	235841001						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16004	24	21020201:15,24010101:45	26040102:66,26040103:66			0		0			1	35841	235841002						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16005	24	21010201:3,21010501:2,20011101:8,20010801:2,21010701:3,21030101:3,20011301:8,21011301:2,20050302:2,20050703:5,20050603:6,20050403:6	21020201:15,20050201:7			0		0			1	35842	235842001						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16006	24	25020201:5,25010201:5,25010701:9,25010301:7,25030201:9,25010401:7,25060101:9,25010601:7,24020201:15,24020101:15,24020401:23,24020301:23	23020101:43,24010101:52			0		0			1	35842	235842002						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16007	24	21020201:11,20050802:11,21020701:11,24010101:32,20050502:11	20050302:7,22040101:14			0		0			1	35843	235843001						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16008	24	21020201:17,20011101:10,21020701:17,20011301:10,20010601:10,20010901:10,24010101:50	20050802:22,20050502:22			0		0			1	35843	235843002						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16009	24	21010201:3,21010601:3,20011301:7,21010501:2,21010701:3,21011301:2,21010901:2,21030601:3	22010101:9,26010201:15			0		0			1	35844	235844001						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16010	24	25020201:5,25010201:5,25010701:9,25030301:9,25030201:9,25060101:9,25010301:6,25010401:6,25070101:9,25010601:6	23020101:40,23010601:20			0		0			1	35844	235844002						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16011	24	21010701:4,21010501:3,20011101:9,21010201:4,21030101:4,20050302:3,20050703:5,20050603:6,20050403:6	22010301:13,20050201:9			0		0			1	35845	235845001						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
16012	24	25020201:5,25010201:5,25010701:10,25010301:7,25030201:10,25010401:7,25060101:10,25010601:7,24020201:16,24020401:24,24020101:16,24020301:24	23020101:45,24010101:55			0		0			1	35845	235845002						ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	150						ActivityAbility_CrystalLink_FeverUp_UpdateFeverLevel		
17001	26					0		0				3								420					ActivityAbility_Avatar_Blocking			
17002	26					0		0				3								420					ActivityAbility_Avatar_Blocking			
17003	26					0		0				3								420					ActivityAbility_Avatar_Blocking			
17004	26					0		0				3								420					ActivityAbility_Avatar_Blocking			
18001	25					0		0				3	133004066															
18002	25					0		0				3	133001078															
18003	25					0		0				3	133104823															
18004	25					0		0				3	133104824															
18005	25					0		0				3	133002135															
18006	25					0		0				3	133102221															
18007	25					0		0				3	133106485															
18008	25					0		0				3	133107250															
18009	25					0		0				3	133103360															
18010	25					0		0				3	133101019															
18011	25					0		0				3	133106487															
18012	25					0		0				3	133106488															
18013	25					0		0				3	133221076															
18014	25					0		0				3	133209083															
19001	27	21010701:100,21010201:100,21010401:100,21010501:100,20011401:100,24020201:100,22040201:100	21030103:500,21020202:500,21020703:500,24010101:500,22050201:500,22080101:500,24020401:500	300		0		0			1	6	166001574							150								
20001	28	4,4,30				1	3	1	3	1	1				376171					150								
21100	30								15			9	199001001	199001001						420	199001001	1094,1095,1096,1097	60	199001001,199001002		ActivityAbility_SummerTimeV2_BigWorld		
21101	30								15			9	199003126	199003126						420	199003126	126233,126234,126235,126236	60	199003126,199001005		ActivityAbility_SummerTimeV2_BigWorld		
21200	31								15			9	199002065	199002065						420	199002065	65219,65220,65221,65222	60	199001015		ActivityAbility_SummerTimeV2_BigWorld		
21201	31								15			9	199001100	199001100						420	199001100	100284,100285,100286,100287	60	199001020		ActivityAbility_SummerTimeV2_BigWorld		
21300	32								15			9	199001091	199001091						420	199001091	91094,91095,91096,91097	60	199001114		ActivityAbility_SummerTimeV2_BigWorld		
21301	32								15			9	199003127	199003127						420	199003127	127150,127151,127152,127153	60	199003125		ActivityAbility_SummerTimeV2_BigWorld		
22001	33											9	199003025										60			ActivityAbility_SummerTimeV2_BoatRace		
22002	33											9	199003065										60			ActivityAbility_SummerTimeV2_BoatRace		
22003	33											9	199004061										60			ActivityAbility_SummerTimeV2_BoatRace		
22004	33											9	199001094										60			ActivityAbility_SummerTimeV2_BoatRace		
22005	33											9	199001098										60			ActivityAbility_SummerTimeV2_BoatRace		
22006	33											9	199002079										60			ActivityAbility_SummerTimeV2_BoatRace		
21001	3					0		0			0	3	133001101	133001087					ActivityAbility_ArenaChallenge_TriggerUltimateSkill,ActivityAbility_ArenaChallenge_UltimateSkillDamageUp,ActivityAbility_ArenaChallenge_ReviveEnergy									1
21002	3					0		0			0	3	133001101	133001111					ActivityAbility_ArenaChallenge_TriggerUltimateSkill,ActivityAbility_ArenaChallenge_UltimateSkillDamageUp,ActivityAbility_ArenaChallenge_ReviveEnergy									1
21003	3					0		0			0	3	133001101	133001115					ActivityAbility_ArenaChallenge_TriggerUltimateSkill,ActivityAbility_ArenaChallenge_UltimateSkillDamageUp,ActivityAbility_ArenaChallenge_ReviveEnergy									1
21004	3					0		0			0	3	133001101	133001116					ActivityAbility_ArenaChallenge_TriggerUltimateSkill,ActivityAbility_ArenaChallenge_UltimateSkillDamageUp,ActivityAbility_ArenaChallenge_ReviveEnergy									1
21005	3					0		0			0	3	133001101	133001127					ActivityAbility_ArenaChallenge_TriggerReact_Steam_Melt,ActivityAbility_ArenaChallenge_Steam_Melt_DamageUp,ActivityAbility_ArenaChallenge_Purple_After_Steam_Melt									1
21006	3					0		0			0	3	133001101	133001130					ActivityAbility_ArenaChallenge_TriggerReact_Steam_Melt,ActivityAbility_ArenaChallenge_Steam_Melt_DamageUp,ActivityAbility_ArenaChallenge_Purple_After_Steam_Melt									1
21007	3					0		0			0	3	133001101	133001131					ActivityAbility_ArenaChallenge_TriggerReact_Steam_Melt,ActivityAbility_ArenaChallenge_Steam_Melt_DamageUp,ActivityAbility_ArenaChallenge_Purple_After_Steam_Melt									1
21008	3					0		0			0	3	133001101	133001132					ActivityAbility_ArenaChallenge_TriggerReact_Steam_Melt,ActivityAbility_ArenaChallenge_Steam_Melt_DamageUp,ActivityAbility_ArenaChallenge_Purple_After_Steam_Melt									1
21009	3					0		0			0	3	133001101	133001121					ActivityAbility_ArenaChallenge_TriggerReact_Electric,ActivityAbility_ArenaChallenge_ElectricReact_EnermyDefenceDown,ActivityAbility_ArenaChallenge_ElectricReact_GenerateEnergyBall									1
21010	3					0		0			0	3	133001101	133001122					ActivityAbility_ArenaChallenge_TriggerReact_Electric,ActivityAbility_ArenaChallenge_ElectricReact_EnermyDefenceDown,ActivityAbility_ArenaChallenge_ElectricReact_GenerateEnergyBall									1
21011	3					0		0			0	3	133001101	133001123					ActivityAbility_ArenaChallenge_TriggerReact_Electric,ActivityAbility_ArenaChallenge_ElectricReact_EnermyDefenceDown,ActivityAbility_ArenaChallenge_ElectricReact_GenerateEnergyBall									1
21012	3					0		0			0	3	133001101	133001124					ActivityAbility_ArenaChallenge_TriggerReact_Electric,ActivityAbility_ArenaChallenge_ElectricReact_EnermyDefenceDown,ActivityAbility_ArenaChallenge_ElectricReact_GenerateEnergyBall									1
21013	3					0		0			0	3	133001101	133001133					ActivityAbility_ArenaChallenge_TriggerReact_Swirl,ActivityAbility_ArenaChallenge_SwirlReact_GenerateEnergyBall							ActivityAbility_ArenaChallenge_SwirlReact_DamageUp		1
21014	3					0		0			0	3	133001101	133001134					ActivityAbility_ArenaChallenge_TriggerReact_Swirl,ActivityAbility_ArenaChallenge_SwirlReact_GenerateEnergyBall							ActivityAbility_ArenaChallenge_SwirlReact_DamageUp		1
21015	3					0		0			0	3	133001101	133001135					ActivityAbility_ArenaChallenge_TriggerReact_Swirl,ActivityAbility_ArenaChallenge_SwirlReact_GenerateEnergyBall							ActivityAbility_ArenaChallenge_SwirlReact_DamageUp		1
21016	3					0		0			0	3	133001101	133001136					ActivityAbility_ArenaChallenge_TriggerReact_Swirl,ActivityAbility_ArenaChallenge_SwirlReact_GenerateEnergyBall							ActivityAbility_ArenaChallenge_SwirlReact_DamageUp		1
21017	3					0		0			0	3	133001101	133001137					ActivityAbility_ArenaChallenge_Claymore_AtkLand,ActivityAbility_ArenaChallenge_Claymore_DamageUp,ActivityAbility_ArenaChallenge_Claymore_AtkSpeedUp									1
21018	3					0		0			0	3	133001101	133001138					ActivityAbility_ArenaChallenge_Claymore_AtkLand,ActivityAbility_ArenaChallenge_Claymore_DamageUp,ActivityAbility_ArenaChallenge_Claymore_AtkSpeedUp									1
21019	3					0		0			0	3	133001101	133001139					ActivityAbility_ArenaChallenge_Claymore_AtkLand,ActivityAbility_ArenaChallenge_Claymore_DamageUp,ActivityAbility_ArenaChallenge_Claymore_AtkSpeedUp									1
21020	3					0		0			0	3	133001101	133001140					ActivityAbility_ArenaChallenge_Claymore_AtkLand,ActivityAbility_ArenaChallenge_Claymore_DamageUp,ActivityAbility_ArenaChallenge_Claymore_AtkSpeedUp									1
21021	3					0		0			0	3	133001101	133001141					ActivityAbility_ArenaChallenge_NormalAtkDamageLand,ActivityAbility_ArenaChallenge_NormalAtkDamageUp,ActivityAbility_ArenaChallenge_NormalAttackLand_ReviveEnergy									1
21022	3					0		0			0	3	133001101	133001148					ActivityAbility_ArenaChallenge_NormalAtkDamageLand,ActivityAbility_ArenaChallenge_NormalAtkDamageUp,ActivityAbility_ArenaChallenge_NormalAttackLand_ReviveEnergy									1
21023	3					0		0			0	3	133001101	133001149					ActivityAbility_ArenaChallenge_NormalAtkDamageLand,ActivityAbility_ArenaChallenge_NormalAtkDamageUp,ActivityAbility_ArenaChallenge_NormalAttackLand_ReviveEnergy									1
21024	3					0		0			0	3	133001101	133001150					ActivityAbility_ArenaChallenge_NormalAtkDamageLand,ActivityAbility_ArenaChallenge_NormalAtkDamageUp,ActivityAbility_ArenaChallenge_NormalAttackLand_ReviveEnergy									1
21025	3					0		0			0	3	133001101	133001151					ActivityAbility_ArenaChallenge_TriggerReact_Freeze,ActivityAbility_ArenaChallenge_HitFrozenTarget_DamageUp,ActivityAbility_ArenaChallenge_FrozenReact_DefenceDown									1
21026	3					0		0			0	3	133001101	133001163					ActivityAbility_ArenaChallenge_TriggerReact_Freeze,ActivityAbility_ArenaChallenge_HitFrozenTarget_DamageUp,ActivityAbility_ArenaChallenge_FrozenReact_DefenceDown									1
21027	3					0		0			0	3	133001101	133001164					ActivityAbility_ArenaChallenge_TriggerReact_Freeze,ActivityAbility_ArenaChallenge_HitFrozenTarget_DamageUp,ActivityAbility_ArenaChallenge_FrozenReact_DefenceDown									1
21028	3					0		0			0	3	133001101	133001167					ActivityAbility_ArenaChallenge_TriggerReact_Freeze,ActivityAbility_ArenaChallenge_HitFrozenTarget_DamageUp,ActivityAbility_ArenaChallenge_FrozenReact_DefenceDown									1
